Group Number,Activity,Timestamp
294,First download of assignment,2022-01-06 07:30:00+00:00
294,Revisit PM Exercise in Moodle,2022-01-06 09:05:00+00:00
294,Coordinate with Assignment Group,2022-01-06 09:28:00+00:00
294,Solve tasks together,2022-01-06 09:49:00+00:00
294,Recheck/Compare Task Results,2022-01-06 09:56:00+00:00
294,Submit results,2022-01-06 10:02:00+00:00
299,First download of assignment,2022-01-06 07:30:00+00:00
299,Revisit PM Exercise in Moodle,2022-01-06 09:13:00+00:00
299,Coordinate with Assignment Group,2022-01-06 09:43:00+00:00
299,Solve tasks together,2022-01-06 10:02:00+00:00
299,Recheck/Compare Task Results,2022-01-06 10:07:00+00:00
299,Submit results,2022-01-06 10:16:00+00:00
287,First download of assignment,2022-01-06 07:30:00+00:00
287,Revisit PM Exercise in Moodle,2022-01-06 09:18:00+00:00
287,Solve tasks individually,2022-01-06 09:31:00+00:00
287,Recheck/Compare Task Results,2022-01-06 09:41:00+00:00
287,Redo Task(s),2022-01-06 09:50:00+00:00
287,Coordinate with Assignment Group,2022-01-06 10:02:00+00:00
287,Solve tasks together,2022-01-06 10:39:00+00:00
287,Recheck/Compare Task Results,2022-01-06 10:47:00+00:00
287,Submit results,2022-01-06 10:55:00+00:00
289,First download of assignment,2022-01-06 07:30:00+00:00
289,Revisit PM Exercise in Moodle,2022-01-06 09:46:00+00:00
289,Coordinate with Assignment Group,2022-01-06 10:03:00+00:00
289,Solve tasks together,2022-01-06 10:21:00+00:00
289,Recheck/Compare Task Results,2022-01-06 10:30:00+00:00
289,Submit results,2022-01-06 10:39:00+00:00
301,First download of assignment,2022-01-06 07:30:00+00:00
301,Revisit PM Exercise in Moodle,2022-01-06 10:02:00+00:00
301,Coordinate with Assignment Group,2022-01-06 10:22:00+00:00
301,Solve tasks individually,2022-01-06 10:30:00+00:00
301,Recheck/Compare Task Results,2022-01-06 10:38:00+00:00
301,Submit results,2022-01-06 10:45:00+00:00
295,First download of assignment,2022-01-06 07:30:00+00:00
295,Revisit PM Exercise in Moodle,2022-01-06 10:16:00+00:00
295,Coordinate with Assignment Group,2022-01-06 10:44:00+00:00
295,Solve tasks together,2022-01-06 10:55:00+00:00
295,Recheck/Compare Task Results,2022-01-06 11:01:00+00:00
295,Submit results,2022-01-06 11:11:00+00:00
293,First download of assignment,2022-01-06 07:30:00+00:00
293,Revisit PM Exercise in Moodle,2022-01-06 10:39:00+00:00
293,Coordinate with Assignment Group,2022-01-06 10:59:00+00:00
293,Solve tasks together,2022-01-06 11:37:00+00:00
293,Recheck/Compare Task Results,2022-01-06 11:42:00+00:00
293,Submit results,2022-01-06 11:49:00+00:00
304,First download of assignment,2022-01-06 07:30:00+00:00
304,Revisit PM Exercise in Moodle,2022-01-06 11:31:00+00:00
304,Solve tasks together,2022-01-06 11:50:00+00:00
304,Recheck/Compare Task Results,2022-01-06 11:57:00+00:00
304,Submit results,2022-01-06 13:18:00+00:00
304,Coordinate with Assignment Group,2022-01-06 13:18:00+00:00
292,First download of assignment,2022-01-06 07:30:00+00:00
292,Revisit PM Exercise in Moodle,2022-01-06 13:12:00+00:00
292,Solve tasks individually,2022-01-06 13:44:00+00:00
292,Recheck/Compare Task Results,2022-01-06 13:50:00+00:00
292,Coordinate with Assignment Group,2022-01-06 13:52:00+00:00
292,Submit results,2022-01-06 14:00:00+00:00
305,First download of assignment,2022-01-06 07:30:00+00:00
305,Revisit PM Exercise in Moodle,2022-01-06 15:55:00+00:00
305,Coordinate with Assignment Group,2022-01-06 16:20:00+00:00
305,Solve tasks together,2022-01-06 16:39:00+00:00
305,Recheck/Compare Task Results,2022-01-06 16:49:00+00:00
305,Redo Task(s),2022-01-06 16:59:00+00:00
305,Solve tasks together,2022-01-06 17:42:00+00:00
305,Recheck/Compare Task Results,2022-01-06 17:48:00+00:00
305,Submit results,2022-01-06 17:57:00+00:00
296,First download of assignment,2022-01-06 07:30:00+00:00
296,Revisit PM Exercise in Moodle,2022-01-06 15:59:00+00:00
296,Coordinate with Assignment Group,2022-01-06 16:45:00+00:00
296,Solve tasks together,2022-01-06 16:59:00+00:00
296,Recheck/Compare Task Results,2022-01-06 17:08:00+00:00
296,Submit results,2022-01-06 17:15:00+00:00
290,First download of assignment,2022-01-06 07:30:00+00:00
290,Revisit PM Exercise in Moodle,2022-01-06 16:43:00+00:00
290,Coordinate with Assignment Group,2022-01-06 17:06:00+00:00
290,Solve tasks together,2022-01-06 17:24:00+00:00
290,Recheck/Compare Task Results,2022-01-06 17:32:00+00:00
290,Submit results,2022-01-06 17:37:00+00:00
302,First download of assignment,2022-01-06 07:30:00+00:00
302,Revisit PM Exercise in Moodle,2022-01-06 16:49:00+00:00
302,Solve tasks together,2022-01-06 17:10:00+00:00
302,Coordinate with Assignment Group,2022-01-06 17:15:00+00:00
302,Recheck/Compare Task Results,2022-01-06 17:19:00+00:00
302,Submit results,2022-01-06 17:25:00+00:00
300,First download of assignment,2022-01-06 07:30:00+00:00
300,Revisit PM Exercise in Moodle,2022-01-06 16:47:00+00:00
300,Solve tasks together,2022-01-06 17:08:00+00:00
300,Recheck/Compare Task Results,2022-01-06 17:17:00+00:00
300,Submit results,2022-01-06 17:33:00+00:00
300,Coordinate with Assignment Group,2022-01-06 17:33:00+00:00
308,First download of assignment,2022-01-06 07:30:00+00:00
308,Revisit PM Exercise in Moodle,2022-01-06 17:07:00+00:00
308,Solve tasks together,2022-01-06 17:36:00+00:00
308,Coordinate with Assignment Group,2022-01-06 17:41:00+00:00
308,Recheck/Compare Task Results,2022-01-06 17:44:00+00:00
308,Submit results,2022-01-06 17:49:00+00:00
297,First download of assignment,2022-01-06 07:30:00+00:00
297,Revisit PM Exercise in Moodle,2022-01-06 17:18:00+00:00
297,Coordinate with Assignment Group,2022-01-06 17:42:00+00:00
297,Solve tasks together,2022-01-07 08:28:00+00:00
297,Recheck/Compare Task Results,2022-01-07 08:34:00+00:00
297,Submit results,2022-01-07 08:41:00+00:00
307,First download of assignment,2022-01-06 07:30:00+00:00
307,Revisit PM Exercise in Moodle,2022-01-06 17:26:00+00:00
307,Solve tasks together,2022-01-06 17:51:00+00:00
307,Coordinate with Assignment Group,2022-01-06 17:57:00+00:00
307,Recheck/Compare Task Results,2022-01-07 08:01:00+00:00
307,Submit results,2022-01-07 08:08:00+00:00
306,First download of assignment,2022-01-06 07:30:00+00:00
306,Revisit PM Exercise in Moodle,2022-01-06 17:41:00+00:00
306,Coordinate with Assignment Group,2022-01-07 08:05:00+00:00
306,Solve tasks together,2022-01-07 08:13:00+00:00
306,Recheck/Compare Task Results,2022-01-07 08:21:00+00:00
306,Submit results,2022-01-07 08:26:00+00:00
314,First download of assignment,2022-01-07 07:30:00+00:00
314,Revisit PM Exercise in Moodle,2022-01-07 08:19:00+00:00
314,Solve tasks together,2022-01-07 08:54:00+00:00
314,Coordinate with Assignment Group,2022-01-07 08:55:00+00:00
314,Recheck/Compare Task Results,2022-01-07 09:02:00+00:00
314,Submit results,2022-01-07 09:09:00+00:00
326,First download of assignment,2022-01-07 07:30:00+00:00
326,Revisit PM Exercise in Moodle,2022-01-07 09:34:00+00:00
326,Coordinate with Assignment Group,2022-01-07 09:53:00+00:00
326,Solve tasks together,2022-01-07 10:28:00+00:00
326,Recheck/Compare Task Results,2022-01-07 10:38:00+00:00
326,Submit results,2022-01-07 10:46:00+00:00
313,First download of assignment,2022-01-07 07:30:00+00:00
313,Revisit PM Exercise in Moodle,2022-01-07 09:58:00+00:00
313,Solve tasks together,2022-01-07 10:20:00+00:00
313,Coordinate with Assignment Group,2022-01-07 10:28:00+00:00
313,Recheck/Compare Task Results,2022-01-07 10:30:00+00:00
313,Submit results,2022-01-07 10:38:00+00:00
317,First download of assignment,2022-01-07 07:30:00+00:00
317,Revisit PM Exercise in Moodle,2022-01-07 10:40:00+00:00
317,Solve tasks together,2022-01-07 11:02:00+00:00
317,Recheck/Compare Task Results,2022-01-07 11:08:00+00:00
317,Coordinate with Assignment Group,2022-01-07 11:29:00+00:00
317,Submit results,2022-01-07 11:29:00+00:00
312,First download of assignment,2022-01-07 07:30:00+00:00
312,Revisit PM Exercise in Moodle,2022-01-07 10:53:00+00:00
312,Coordinate with Assignment Group,2022-01-07 11:34:00+00:00
312,Solve tasks together,2022-01-07 11:37:00+00:00
312,Recheck/Compare Task Results,2022-01-07 11:46:00+00:00
312,Submit results,2022-01-07 11:51:00+00:00
321,First download of assignment,2022-01-07 07:30:00+00:00
321,Revisit PM Exercise in Moodle,2022-01-07 11:33:00+00:00
321,Coordinate with Assignment Group,2022-01-07 11:48:00+00:00
321,Solve tasks together,2022-01-07 11:57:00+00:00
321,Recheck/Compare Task Results,2022-01-07 13:03:00+00:00
321,Submit results,2022-01-07 13:13:00+00:00
316,First download of assignment,2022-01-07 07:30:00+00:00
316,Revisit PM Exercise in Moodle,2022-01-07 13:40:00+00:00
316,Coordinate with Assignment Group,2022-01-07 14:14:00+00:00
316,Solve tasks individually,2022-01-07 14:25:00+00:00
316,Recheck/Compare Task Results,2022-01-07 14:35:00+00:00
316,Submit results,2022-01-07 14:43:00+00:00
322,First download of assignment,2022-01-07 07:30:00+00:00
322,Revisit PM Exercise in Moodle,2022-01-07 13:49:00+00:00
322,Coordinate with Assignment Group,2022-01-07 14:09:00+00:00
322,Solve tasks together,2022-01-07 14:37:00+00:00
322,Recheck/Compare Task Results,2022-01-07 14:46:00+00:00
322,Submit results,2022-01-07 14:52:00+00:00
327,First download of assignment,2022-01-07 07:30:00+00:00
327,Revisit PM Exercise in Moodle,2022-01-07 14:07:00+00:00
327,Coordinate with Assignment Group,2022-01-07 14:25:00+00:00
327,Solve tasks together,2022-01-07 14:30:00+00:00
327,Recheck/Compare Task Results,2022-01-07 14:40:00+00:00
327,Submit results,2022-01-07 14:48:00+00:00
309,First download of assignment,2022-01-07 07:30:00+00:00
309,Revisit PM Exercise in Moodle,2022-01-07 14:06:00+00:00
309,Coordinate with Assignment Group,2022-01-07 14:34:00+00:00
309,Solve tasks together,2022-01-07 15:03:00+00:00
309,Recheck/Compare Task Results,2022-01-07 15:10:00+00:00
309,Submit results,2022-01-07 15:20:00+00:00
328,First download of assignment,2022-01-07 07:30:00+00:00
328,Revisit PM Exercise in Moodle,2022-01-07 14:35:00+00:00
328,Solve tasks together,2022-01-07 14:50:00+00:00
328,Coordinate with Assignment Group,2022-01-07 14:52:00+00:00
328,Recheck/Compare Task Results,2022-01-07 14:55:00+00:00
328,Submit results,2022-01-07 15:04:00+00:00
323,First download of assignment,2022-01-07 07:30:00+00:00
323,Revisit PM Exercise in Moodle,2022-01-07 15:21:00+00:00
323,Solve tasks individually,2022-01-07 15:49:00+00:00
323,Recheck/Compare Task Results,2022-01-07 15:57:00+00:00
323,Coordinate with Assignment Group,2022-01-07 16:03:00+00:00
323,Redo Task(s),2022-01-07 16:07:00+00:00
323,Solve tasks individually,2022-01-07 16:14:00+00:00
323,Recheck/Compare Task Results,2022-01-07 16:21:00+00:00
323,Redo Task(s),2022-01-07 16:28:00+00:00
323,Solve tasks individually,2022-01-07 16:44:00+00:00
323,Recheck/Compare Task Results,2022-01-07 16:51:00+00:00
323,Submit results,2022-01-07 16:59:00+00:00
329,First download of assignment,2022-01-07 07:30:00+00:00
329,Revisit PM Exercise in Moodle,2022-01-07 15:46:00+00:00
329,Coordinate with Assignment Group,2022-01-07 16:07:00+00:00
329,Solve tasks individually,2022-01-07 16:14:00+00:00
329,Recheck/Compare Task Results,2022-01-07 16:22:00+00:00
329,Submit results,2022-01-07 16:29:00+00:00
324,First download of assignment,2022-01-07 07:30:00+00:00
324,Revisit PM Exercise in Moodle,2022-01-07 16:04:00+00:00
324,Solve tasks together,2022-01-07 16:34:00+00:00
324,Recheck/Compare Task Results,2022-01-07 16:41:00+00:00
324,Coordinate with Assignment Group,2022-01-07 16:43:00+00:00
324,Submit results,2022-01-07 16:49:00+00:00
318,First download of assignment,2022-01-07 07:30:00+00:00
318,Revisit PM Exercise in Moodle,2022-01-07 16:36:00+00:00
318,Solve tasks together,2022-01-07 17:03:00+00:00
318,Recheck/Compare Task Results,2022-01-07 17:08:00+00:00
318,Coordinate with Assignment Group,2022-01-07 17:15:00+00:00
318,Submit results,2022-01-07 17:16:00+00:00
311,First download of assignment,2022-01-07 07:30:00+00:00
311,Revisit PM Exercise in Moodle,2022-01-07 16:47:00+00:00
311,Coordinate with Assignment Group,2022-01-07 17:10:00+00:00
311,Solve tasks together,2022-01-07 17:48:00+00:00
311,Recheck/Compare Task Results,2022-01-07 17:57:00+00:00
311,Submit results,2022-01-10 08:05:00+00:00
320,First download of assignment,2022-01-07 07:30:00+00:00
320,Revisit PM Exercise in Moodle,2022-01-07 17:04:00+00:00
320,Solve tasks individually,2022-01-07 17:45:00+00:00
320,Recheck/Compare Task Results,2022-01-07 17:52:00+00:00
320,Coordinate with Assignment Group,2022-01-07 17:54:00+00:00
320,Submit results,2022-01-07 17:58:00+00:00
315,First download of assignment,2022-01-07 07:30:00+00:00
315,Revisit PM Exercise in Moodle,2022-01-07 17:29:00+00:00
315,Solve tasks individually,2022-01-07 17:50:00+00:00
315,Recheck/Compare Task Results,2022-01-10 08:00:00+00:00
315,Submit results,2022-01-10 08:11:00+00:00
315,Coordinate with Assignment Group,2022-01-10 08:11:00+00:00
325,First download of assignment,2022-01-07 07:30:00+00:00
325,Revisit PM Exercise in Moodle,2022-01-07 17:25:00+00:00
325,Solve tasks individually,2022-01-07 17:43:00+00:00
325,Recheck/Compare Task Results,2022-01-07 17:52:00+00:00
325,Coordinate with Assignment Group,2022-01-07 17:54:00+00:00
325,Redo Task(s),2022-01-07 17:57:00+00:00
325,Solve tasks individually,2022-01-10 08:08:00+00:00
325,Recheck/Compare Task Results,2022-01-10 08:18:00+00:00
325,Submit results,2022-01-10 08:25:00+00:00
319,First download of assignment,2022-01-07 07:30:00+00:00
319,Revisit PM Exercise in Moodle,2022-01-07 17:33:00+00:00
319,Coordinate with Assignment Group,2022-01-07 17:57:00+00:00
319,Solve tasks together,2022-01-10 08:48:00+00:00
319,Recheck/Compare Task Results,2022-01-10 08:53:00+00:00
319,Submit results,2022-01-10 09:02:00+00:00
331,First download of assignment,2022-01-10 07:30:00+00:00
331,Revisit PM Exercise in Moodle,2022-01-10 08:11:00+00:00
331,Coordinate with Assignment Group,2022-01-10 08:30:00+00:00
331,Solve tasks together,2022-01-10 08:47:00+00:00
331,Recheck/Compare Task Results,2022-01-10 08:53:00+00:00
331,Submit results,2022-01-10 08:59:00+00:00
332,First download of assignment,2022-01-10 07:30:00+00:00
332,Revisit PM Exercise in Moodle,2022-01-10 09:21:00+00:00
332,Coordinate with Assignment Group,2022-01-10 09:39:00+00:00
332,Solve tasks together,2022-01-10 10:00:00+00:00
332,Recheck/Compare Task Results,2022-01-10 10:08:00+00:00
332,Submit results,2022-01-10 10:13:00+00:00
330,First download of assignment,2022-01-10 07:30:00+00:00
330,Revisit PM Exercise in Moodle,2022-01-10 11:16:00+00:00
330,Coordinate with Assignment Group,2022-01-10 11:39:00+00:00
330,Solve tasks individually,2022-01-10 11:52:00+00:00
330,Recheck/Compare Task Results,2022-01-10 11:57:00+00:00
330,Redo Task(s),2022-01-10 13:07:00+00:00
330,Solve tasks individually,2022-01-10 13:17:00+00:00
330,Recheck/Compare Task Results,2022-01-10 13:24:00+00:00
330,Redo Task(s),2022-01-10 13:30:00+00:00
330,Solve tasks individually,2022-01-10 13:40:00+00:00
330,Recheck/Compare Task Results,2022-01-10 13:46:00+00:00
330,Submit results,2022-01-10 13:54:00+00:00
335,First download of assignment,2022-01-10 07:30:00+00:00
335,Revisit PM Exercise in Moodle,2022-01-10 14:11:00+00:00
335,Coordinate with Assignment Group,2022-01-10 14:26:00+00:00
335,Solve tasks individually,2022-01-10 14:43:00+00:00
335,Recheck/Compare Task Results,2022-01-10 14:48:00+00:00
335,Redo Task(s),2022-01-10 14:58:00+00:00
335,Solve tasks individually,2022-01-10 15:14:00+00:00
335,Recheck/Compare Task Results,2022-01-10 15:23:00+00:00
335,Submit results,2022-01-10 15:31:00+00:00
338,First download of assignment,2022-01-10 07:30:00+00:00
338,Revisit PM Exercise in Moodle,2022-01-10 15:06:00+00:00
338,Coordinate with Assignment Group,2022-01-10 15:47:00+00:00
338,Solve tasks together,2022-01-10 16:23:00+00:00
338,Recheck/Compare Task Results,2022-01-10 16:31:00+00:00
338,Submit results,2022-01-10 16:40:00+00:00
334,First download of assignment,2022-01-10 07:30:00+00:00
334,Revisit PM Exercise in Moodle,2022-01-10 15:17:00+00:00
334,Solve tasks together,2022-01-10 15:45:00+00:00
334,Recheck/Compare Task Results,2022-01-10 15:54:00+00:00
334,Coordinate with Assignment Group,2022-01-10 16:00:00+00:00
334,Submit results,2022-01-10 16:02:00+00:00
333,First download of assignment,2022-01-10 07:30:00+00:00
333,Revisit PM Exercise in Moodle,2022-01-10 16:30:00+00:00
333,Solve tasks individually,2022-01-10 16:56:00+00:00
333,Recheck/Compare Task Results,2022-01-10 17:01:00+00:00
333,Redo Task(s),2022-01-10 17:11:00+00:00
333,Coordinate with Assignment Group,2022-01-10 17:18:00+00:00
333,Solve tasks individually,2022-01-10 17:26:00+00:00
333,Recheck/Compare Task Results,2022-01-10 17:31:00+00:00
333,Redo Task(s),2022-01-10 17:39:00+00:00
333,Solve tasks individually,2022-01-10 17:46:00+00:00
333,Recheck/Compare Task Results,2022-01-10 17:53:00+00:00
333,Submit results,2022-01-11 08:00:00+00:00
336,First download of assignment,2022-01-10 07:30:00+00:00
336,Revisit PM Exercise in Moodle,2022-01-10 16:49:00+00:00
336,Solve tasks individually,2022-01-10 17:16:00+00:00
336,Coordinate with Assignment Group,2022-01-10 17:18:00+00:00
336,Recheck/Compare Task Results,2022-01-10 17:25:00+00:00
336,Submit results,2022-01-10 17:30:00+00:00
339,First download of assignment,2022-01-10 07:30:00+00:00
339,Revisit PM Exercise in Moodle,2022-01-10 17:06:00+00:00
339,Coordinate with Assignment Group,2022-01-10 17:51:00+00:00
339,Solve tasks together,2022-01-11 08:08:00+00:00
339,Recheck/Compare Task Results,2022-01-11 08:18:00+00:00
339,Submit results,2022-01-11 08:26:00+00:00
341,First download of assignment,2022-01-10 07:30:00+00:00
341,Revisit PM Exercise in Moodle,2022-01-10 17:25:00+00:00
341,Solve tasks individually,2022-01-10 17:55:00+00:00
341,Coordinate with Assignment Group,2022-01-11 08:02:00+00:00
341,Recheck/Compare Task Results,2022-01-11 08:05:00+00:00
341,Submit results,2022-01-11 08:14:00+00:00
357,First download of assignment,2022-01-11 07:30:00+00:00
357,Revisit PM Exercise in Moodle,2022-01-11 08:46:00+00:00
357,Coordinate with Assignment Group,2022-01-11 09:08:00+00:00
357,Solve tasks together,2022-01-11 09:34:00+00:00
357,Recheck/Compare Task Results,2022-01-11 09:44:00+00:00
357,Submit results,2022-01-11 09:52:00+00:00
343,First download of assignment,2022-01-11 07:30:00+00:00
343,Revisit PM Exercise in Moodle,2022-01-11 08:48:00+00:00
343,Solve tasks together,2022-01-11 09:21:00+00:00
343,Recheck/Compare Task Results,2022-01-11 09:28:00+00:00
343,Coordinate with Assignment Group,2022-01-11 09:38:00+00:00
343,Submit results,2022-01-11 09:38:00+00:00
355,First download of assignment,2022-01-11 07:30:00+00:00
355,Revisit PM Exercise in Moodle,2022-01-11 09:16:00+00:00
355,Solve tasks individually,2022-01-11 09:29:00+00:00
355,Coordinate with Assignment Group,2022-01-11 09:35:00+00:00
355,Recheck/Compare Task Results,2022-01-11 09:39:00+00:00
355,Redo Task(s),2022-01-11 09:47:00+00:00
355,Solve tasks individually,2022-01-11 09:53:00+00:00
355,Recheck/Compare Task Results,2022-01-11 10:03:00+00:00
355,Redo Task(s),2022-01-11 10:10:00+00:00
355,Solve tasks individually,2022-01-11 10:16:00+00:00
355,Recheck/Compare Task Results,2022-01-11 10:23:00+00:00
355,Submit results,2022-01-11 10:30:00+00:00
353,First download of assignment,2022-01-11 07:30:00+00:00
353,Revisit PM Exercise in Moodle,2022-01-11 09:40:00+00:00
353,Coordinate with Assignment Group,2022-01-11 10:06:00+00:00
353,Solve tasks individually,2022-01-11 10:09:00+00:00
353,Recheck/Compare Task Results,2022-01-11 10:17:00+00:00
353,Redo Task(s),2022-01-11 10:27:00+00:00
353,Solve tasks individually,2022-01-11 10:33:00+00:00
353,Recheck/Compare Task Results,2022-01-11 10:42:00+00:00
353,Redo Task(s),2022-01-11 10:48:00+00:00
353,Solve tasks individually,2022-01-11 11:00:00+00:00
353,Recheck/Compare Task Results,2022-01-11 11:10:00+00:00
353,Submit results,2022-01-11 11:16:00+00:00
361,First download of assignment,2022-01-11 07:30:00+00:00
361,Revisit PM Exercise in Moodle,2022-01-11 10:14:00+00:00
361,Coordinate with Assignment Group,2022-01-11 10:32:00+00:00
361,Solve tasks together,2022-01-11 10:47:00+00:00
361,Recheck/Compare Task Results,2022-01-11 10:52:00+00:00
361,Submit results,2022-01-11 11:02:00+00:00
346,First download of assignment,2022-01-11 07:30:00+00:00
346,Revisit PM Exercise in Moodle,2022-01-11 10:45:00+00:00
346,Coordinate with Assignment Group,2022-01-11 11:06:00+00:00
346,Solve tasks together,2022-01-11 11:38:00+00:00
346,Recheck/Compare Task Results,2022-01-11 11:43:00+00:00
346,Submit results,2022-01-11 11:52:00+00:00
342,First download of assignment,2022-01-11 07:30:00+00:00
342,Revisit PM Exercise in Moodle,2022-01-11 11:31:00+00:00
342,Solve tasks together,2022-01-11 13:08:00+00:00
342,Coordinate with Assignment Group,2022-01-11 13:12:00+00:00
342,Recheck/Compare Task Results,2022-01-11 13:15:00+00:00
342,Submit results,2022-01-11 13:21:00+00:00
351,First download of assignment,2022-01-11 07:30:00+00:00
351,Revisit PM Exercise in Moodle,2022-01-11 11:41:00+00:00
351,Coordinate with Assignment Group,2022-01-11 13:06:00+00:00
351,Solve tasks together,2022-01-11 13:08:00+00:00
351,Recheck/Compare Task Results,2022-01-11 13:18:00+00:00
351,Submit results,2022-01-11 13:26:00+00:00
359,First download of assignment,2022-01-11 07:30:00+00:00
359,Revisit PM Exercise in Moodle,2022-01-11 13:20:00+00:00
359,Solve tasks individually,2022-01-11 13:49:00+00:00
359,Recheck/Compare Task Results,2022-01-11 13:56:00+00:00
359,Coordinate with Assignment Group,2022-01-11 14:01:00+00:00
359,Submit results,2022-01-11 14:06:00+00:00
362,First download of assignment,2022-01-11 07:30:00+00:00
362,Revisit PM Exercise in Moodle,2022-01-11 14:10:00+00:00
362,Coordinate with Assignment Group,2022-01-11 14:37:00+00:00
362,Solve tasks together,2022-01-11 15:21:00+00:00
362,Recheck/Compare Task Results,2022-01-11 15:27:00+00:00
362,Submit results,2022-01-11 15:33:00+00:00
349,First download of assignment,2022-01-11 07:30:00+00:00
349,Revisit PM Exercise in Moodle,2022-01-11 14:19:00+00:00
349,Solve tasks individually,2022-01-11 14:39:00+00:00
349,Coordinate with Assignment Group,2022-01-11 14:39:00+00:00
349,Recheck/Compare Task Results,2022-01-11 14:49:00+00:00
349,Redo Task(s),2022-01-11 14:58:00+00:00
349,Solve tasks individually,2022-01-11 15:04:00+00:00
349,Recheck/Compare Task Results,2022-01-11 15:11:00+00:00
349,Redo Task(s),2022-01-11 15:21:00+00:00
349,Solve tasks individually,2022-01-11 15:34:00+00:00
349,Recheck/Compare Task Results,2022-01-11 15:40:00+00:00
349,Submit results,2022-01-11 15:45:00+00:00
348,First download of assignment,2022-01-11 07:30:00+00:00
348,Revisit PM Exercise in Moodle,2022-01-11 14:28:00+00:00
348,Coordinate with Assignment Group,2022-01-11 14:52:00+00:00
348,Solve tasks individually,2022-01-11 15:08:00+00:00
348,Recheck/Compare Task Results,2022-01-11 15:13:00+00:00
348,Submit results,2022-01-11 15:19:00+00:00
358,First download of assignment,2022-01-11 07:30:00+00:00
358,Revisit PM Exercise in Moodle,2022-01-11 15:32:00+00:00
358,Coordinate with Assignment Group,2022-01-11 15:57:00+00:00
358,Solve tasks together,2022-01-11 16:37:00+00:00
358,Recheck/Compare Task Results,2022-01-11 16:42:00+00:00
358,Submit results,2022-01-11 16:48:00+00:00
347,First download of assignment,2022-01-11 07:30:00+00:00
347,Revisit PM Exercise in Moodle,2022-01-11 15:30:00+00:00
347,Coordinate with Assignment Group,2022-01-11 15:50:00+00:00
347,Solve tasks together,2022-01-11 16:10:00+00:00
347,Recheck/Compare Task Results,2022-01-11 16:18:00+00:00
347,Submit results,2022-01-11 16:27:00+00:00
352,First download of assignment,2022-01-11 07:30:00+00:00
352,Revisit PM Exercise in Moodle,2022-01-11 15:39:00+00:00
352,Solve tasks together,2022-01-11 15:51:00+00:00
352,Recheck/Compare Task Results,2022-01-11 15:58:00+00:00
352,Submit results,2022-01-11 16:03:00+00:00
352,Coordinate with Assignment Group,2022-01-11 16:03:00+00:00
356,First download of assignment,2022-01-11 07:30:00+00:00
356,Revisit PM Exercise in Moodle,2022-01-11 15:58:00+00:00
356,Solve tasks together,2022-01-11 16:23:00+00:00
356,Recheck/Compare Task Results,2022-01-11 16:31:00+00:00
356,Coordinate with Assignment Group,2022-01-11 16:34:00+00:00
356,Submit results,2022-01-11 16:38:00+00:00
354,First download of assignment,2022-01-11 07:30:00+00:00
354,Revisit PM Exercise in Moodle,2022-01-11 16:27:00+00:00
354,Solve tasks together,2022-01-11 16:51:00+00:00
354,Coordinate with Assignment Group,2022-01-11 17:00:00+00:00
354,Recheck/Compare Task Results,2022-01-11 17:00:00+00:00
354,Submit results,2022-01-11 17:09:00+00:00
345,First download of assignment,2022-01-11 07:30:00+00:00
345,Revisit PM Exercise in Moodle,2022-01-11 17:47:00+00:00
345,Coordinate with Assignment Group,2022-01-13 09:03:00+00:00
345,Solve tasks together,2022-01-13 09:40:00+00:00
345,Recheck/Compare Task Results,2022-01-13 09:45:00+00:00
345,Submit results,2022-01-13 09:50:00+00:00
344,First download of assignment,2022-01-11 07:30:00+00:00
344,Revisit PM Exercise in Moodle,2022-01-11 17:51:00+00:00
344,Solve tasks individually,2022-01-12 19:00:00+00:00
344,Recheck/Compare Task Results,2022-01-13 09:09:00+00:00
344,Redo Task(s),2022-01-13 09:18:00+00:00
344,Coordinate with Assignment Group,2022-01-13 09:32:00+00:00
344,Solve tasks together,2022-01-13 09:37:00+00:00
344,Recheck/Compare Task Results,2022-01-13 09:44:00+00:00
344,Submit results,2022-01-13 09:51:00+00:00
378,First download of assignment,2022-01-13 07:30:00+00:00
378,Revisit PM Exercise in Moodle,2022-01-13 10:40:00+00:00
378,Coordinate with Assignment Group,2022-01-13 10:57:00+00:00
378,Solve tasks together,2022-01-13 11:01:00+00:00
378,Recheck/Compare Task Results,2022-01-13 11:11:00+00:00
378,Submit results,2022-01-13 11:19:00+00:00
369,First download of assignment,2022-01-13 07:30:00+00:00
369,Revisit PM Exercise in Moodle,2022-01-13 10:38:00+00:00
369,Coordinate with Assignment Group,2022-01-13 11:11:00+00:00
369,Solve tasks together,2022-01-13 11:33:00+00:00
369,Recheck/Compare Task Results,2022-01-13 11:39:00+00:00
369,Submit results,2022-01-13 11:45:00+00:00
373,First download of assignment,2022-01-13 07:30:00+00:00
373,Revisit PM Exercise in Moodle,2022-01-13 10:41:00+00:00
373,Coordinate with Assignment Group,2022-01-13 11:00:00+00:00
373,Solve tasks together,2022-01-13 11:09:00+00:00
373,Recheck/Compare Task Results,2022-01-13 11:19:00+00:00
373,Submit results,2022-01-13 11:25:00+00:00
375,First download of assignment,2022-01-13 07:30:00+00:00
375,Revisit PM Exercise in Moodle,2022-01-13 10:47:00+00:00
375,Coordinate with Assignment Group,2022-01-13 11:04:00+00:00
375,Solve tasks individually,2022-01-13 11:33:00+00:00
375,Recheck/Compare Task Results,2022-01-13 11:43:00+00:00
